Commodity Name,Symbol,Date,Open,High,Low,Close
Soybeans,S 1:COM,24/01/2025,1054,1063,1053,1054.75
Soybeans,S 1:COM,23/01/2025,1058.25,1076.25,1057.25,1065.5
Soybeans,S 1:COM,22/01/2025,1069,1073.5,1051.75,1056
Soybeans,S 1:COM,21/01/2025,1055,1068,1046,1067.25
Soybeans,S 1:COM,20/01/2025,1035.0975,1037.0598,1034.2849,1036.4958
Soybeans,S 1:COM,17/01/2025,1028,1039,1023.25,1034
Soybeans,S 1:COM,16/01/2025,1028.5,1030.5,1018.5,1019
Soybeans,S 1:COM,15/01/2025,1051,1054,1039.75,1042.75
Soybeans,S 1:COM,14/01/2025,1050,1064,1043.25,1047.5
Soybeans,S 1:COM,13/01/2025,1027.25,1053.5,1026.5,1053
Soybeans,S 1:COM,10/01/2025,1001.25,1033.5,1001,1025.25
Soybeans,S 1:COM,09/01/2025,985.5968,992.7726,979.2175,988.9752
Soybeans,S 1:COM,08/01/2025,994.5,999.25,991.75,994.5
Soybeans,S 1:COM,07/01/2025,983.5,993.25,983.25,992.25
Soybeans,S 1:COM,06/01/2025,997,997.5,989.75,992.5
Soybeans,S 1:COM,03/01/2025,992,992,978.75,981
Soybeans,S 1:COM,02/01/2025,996.5,1004,990.75,999.5
Soybeans,S 1:COM,31/12/2024,985,999.5,983.75,998.25
Soybeans,S 1:COM,30/12/2024,992,994.75,974.75,982
Soybeans,S 1:COM,27/12/2024,988,989,979.25,980
Soybeans,S 1:COM,26/12/2024,979,989.75,975,988
Soybeans,S 1:COM,25/12/2024,973.821,973.8551,973.6883,973.8057
Soybeans,S 1:COM,24/12/2024,972,975.75,971.5,975.25
Soybeans,S 1:COM,23/12/2024,972.25,975.5,968,969.5
Soybeans,S 1:COM,20/12/2024,969.25,977.5,968.5,974.5
Soybeans,S 1:COM,19/12/2024,954.25,964.75,954,963
Soybeans,S 1:COM,18/12/2024,964.5,969,950.25,951.75
Soybeans,S 1:COM,17/12/2024,976.75,979.25,970.5,976.75
Soybeans,S 1:COM,16/12/2024,992.5,993.25,981,982
Soybeans,S 1:COM,13/12/2024,990.5,992,986,988.25
Soybeans,S 1:COM,12/12/2024,996,997.5,988.5,995.75
Soybeans,S 1:COM,11/12/2024,991.25,1001,990.75,995.5
Soybeans,S 1:COM,10/12/2024,993.75,1000,990.5,994.75
Soybeans,S 1:COM,09/12/2024,998,1003.5,985.75,990
Soybeans,S 1:COM,06/12/2024,995.5,997.5,987.75,993.75
Soybeans,S 1:COM,05/12/2024,987,994.75,986.5,993.75
Soybeans,S 1:COM,04/12/2024,986,987.5,980.5,983.75
Soybeans,S 1:COM,03/12/2024,996,999,987,991.75
Soybeans,S 1:COM,02/12/2024,984.25,986.5,977.5,985.25
Soybeans,S 1:COM,29/11/2024,993.25,998,982.75,989.5
Soybeans,S 1:COM,27/11/2024,989.75,994.25,986,988.75
Soybeans,S 1:COM,26/11/2024,987,987,976.75,983.5
Soybeans,S 1:COM,25/11/2024,988.5,990.75,983,985.75
Soybeans,S 1:COM,22/11/2024,983.5,985.25,976.75,983.5
Soybeans,S 1:COM,21/11/2024,990.5,990.5,976.25,977.75
Soybeans,S 1:COM,20/11/2024,991.75,995.25,985.25,990.5
Soybeans,S 1:COM,19/11/2024,1004.25,1009.5,995.25,998.5
Soybeans,S 1:COM,18/11/2024,990.75,1011.5,990.25,1009.75
Soybeans,S 1:COM,15/11/2024,995.25,1005.25,992.5,998.5
Soybeans,S 1:COM,14/11/2024,1007.25,1008,986.25,987.5
Soybeans,S 1:COM,13/11/2024,1009,1009.5,1001.75,1007.75
Soybeans,S 1:COM,12/11/2024,1020.25,1021.75,1003.75,1010.5
Soybeans,S 1:COM,11/11/2024,1034.5,1036.75,1019.5,1022.25
Soybeans,S 1:COM,08/11/2024,1011,1030,1006,1016.75
Soybeans,S 1:COM,07/11/2024,997.5,1015.5,989.75,1015.5
Soybeans,S 1:COM,06/11/2024,978,997.5,977.5,994.5
Soybeans,S 1:COM,05/11/2024,993.25,996.75,991,993.75
Soybeans,S 1:COM,04/11/2024,993.5,995,982.5,987.25
Soybeans,S 1:COM,01/11/2024,990.5,997.25,978.25,982.5
Soybeans,S 1:COM,31/10/2024,983,985.5,978,982.5
Soybeans,S 1:COM,30/10/2024,970.25,979,968,976.5
Soybeans,S 1:COM,29/10/2024,976.5,978,965,965.25
Soybeans,S 1:COM,28/10/2024,981,983,973.5,974
Soybeans,S 1:COM,25/10/2024,992,993.75,984,987.75
Soybeans,S 1:COM,24/10/2024,1010.5,1012.25,994.25,996.25
Soybeans,S 1:COM,23/10/2024,988,999.75,988,997.5
Soybeans,S 1:COM,22/10/2024,981.5,997,980.75,991.75
Soybeans,S 1:COM,21/10/2024,973.5,983.75,972,981
Soybeans,S 1:COM,18/10/2024,990.75,993,969.25,970
Soybeans,S 1:COM,17/10/2024,973.75,991.25,968.25,988.75
Soybeans,S 1:COM,16/10/2024,998,1001.5,978.25,980
Soybeans,S 1:COM,15/10/2024,987,993.75,981,991
Soybeans,S 1:COM,14/10/2024,1000.25,1008.5,995.5,996
Soybeans,S 1:COM,11/10/2024,1018.5,1023.75,1004,1005.5
Soybeans,S 1:COM,10/10/2024,1017.25,1018.5,1011.75,1014.75
Soybeans,S 1:COM,09/10/2024,1018,1024,1011.5,1020.25
Soybeans,S 1:COM,08/10/2024,1020,1022.25,1011.5,1016.25
Soybeans,S 1:COM,07/10/2024,1031.75,1039,1030.75,1034
Soybeans,S 1:COM,04/10/2024,1047.75,1052.5,1036.25,1037.75
Soybeans,S 1:COM,03/10/2024,1044,1056.25,1041.75,1046
Soybeans,S 1:COM,02/10/2024,1045.5,1059.25,1043.5,1056
Soybeans,S 1:COM,01/10/2024,1046.25,1065.5,1046,1057.25
Soybeans,S 1:COM,30/09/2024,1058,1069.75,1056.25,1057
Soybeans,S 1:COM,27/09/2024,1041,1069.5,1039.5,1065.75
Soybeans,S 1:COM,26/09/2024,1059.5,1063.75,1039.75,1041
Soybeans,S 1:COM,25/09/2024,1034.75,1054.5,1034,1053.25
Soybeans,S 1:COM,24/09/2024,1052.25,1058.25,1038.75,1042.25
Soybeans,S 1:COM,23/09/2024,1025.25,1041.75,1024.75,1039.25
Soybeans,S 1:COM,20/09/2024,1006.25,1014.25,1001.25,1012
Soybeans,S 1:COM,19/09/2024,1015.25,1018.25,1009,1013.25
Soybeans,S 1:COM,18/09/2024,1017,1021,1006.25,1014
Soybeans,S 1:COM,17/09/2024,1008.25,1011,1002.75,1006
Soybeans,S 1:COM,16/09/2024,1004.5,1012,1001,1004.5
Soybeans,S 1:COM,13/09/2024,1017.5,1021,1002.25,1006.25
Soybeans,S 1:COM,12/09/2024,1004.75,1017.25,997.25,1010.75
Soybeans,S 1:COM,11/09/2024,1003.5,1005.5,995.5,1000.5
Soybeans,S 1:COM,10/09/2024,1005.75,1006,995.75,997.25
Soybeans,S 1:COM,09/09/2024,986.2993,1004.2806,985.8015,998.9208
Soybeans,S 1:COM,06/09/2024,1006.0843,1015.4553,986.7622,1002.3285
Soybeans,S 1:COM,05/09/2024,1004.0941,1009.0992,994.6601,1009.0216
Soybeans,S 1:COM,04/09/2024,995.5902,1006.3741,984.7398,1005.7704
Soybeans,S 1:COM,03/09/2024,981.7283,1007.1415,976.9927,996.5218
Soybeans,S 1:COM,30/08/2024,974.3182,988.6999,969.5782,980.0036
Soybeans,S 1:COM,29/08/2024,957.2956,975.2807,957.0716,972.7164
Soybeans,S 1:COM,28/08/2024,968.7646,969.562,953.2836,953.3055
Soybeans,S 1:COM,27/08/2024,959.0914,971.4071,957.3211,967.5504
Soybeans,S 1:COM,26/08/2024,941.3206,960.9436,940.0544,959.7309
Soybeans,S 1:COM,23/08/2024,941.3287,954.2784,941.268,952.2654
Soybeans,S 1:COM,22/08/2024,961.7719,963.2497,939.6749,941.0369
Soybeans,S 1:COM,21/08/2024,958.0751,966.2536,955.5974,960.3369
Soybeans,S 1:COM,20/08/2024,956.2746,965.9939,950.627,957.0462
Soybeans,S 1:COM,19/08/2024,941.0546,957.0856,940.2794,955.0418
Soybeans,S 1:COM,16/08/2024,950.2877,952.565,936.0616,937.2825
Soybeans,S 1:COM,15/08/2024,951.4864,961.0884,948.536,948.536
Soybeans,S 1:COM,14/08/2024,945.828,958.1799,939.8349,950.7064
Soybeans,S 1:COM,13/08/2024,1012.0731,1013.5612,985.9867,986.799
Soybeans,S 1:COM,12/08/2024,1021.5838,1038.7483,1000.9832,1013.0504
Soybeans,S 1:COM,09/08/2024,1009.0786,1026.7924,1004.0223,1004.8245
Soybeans,S 1:COM,08/08/2024,1012.8128,1026.9182,1004.1671,1008.0047
Soybeans,S 1:COM,07/08/2024,1026.2758,1027.4507,1004.6343,1013.0519
Soybeans,S 1:COM,06/08/2024,1037.3083,1038.6842,1014.0587,1020.8007
Soybeans,S 1:COM,05/08/2024,1034.8514,1044.8524,1016.4974,1044.7701
Soybeans,S 1:COM,02/08/2024,1019.5238,1032.4922,1016.0272,1031.2843
Soybeans,S 1:COM,01/08/2024,1028.8036,1032.0767,1017.314,1022.0668
Soybeans,S 1:COM,31/07/2024,1026.5405,1049.7645,1019.7789,1030.0469
Soybeans,S 1:COM,30/07/2024,1055.5657,1058.9504,1023.3475,1025.0532
Soybeans,S 1:COM,29/07/2024,1069.9454,1069.955,1030.2979,1054.7917
Soybeans,S 1:COM,26/07/2024,1113.9836,1116.7957,1070.9966,1071.5059
Soybeans,S 1:COM,25/07/2024,1109.5476,1119.7823,1103.9688,1112.7352
Soybeans,S 1:COM,24/07/2024,1113.9753,1122.891,1104.9272,1109.5217
Soybeans,S 1:COM,23/07/2024,1115.7924,1128.9948,1110.7286,1116.6672
Soybeans,S 1:COM,22/07/2024,1100.7188,1119.3501,1100.4763,1117.0333
Soybeans,S 1:COM,19/07/2024,1097.0747,1107.4403,1094.8779,1095.8053
Soybeans,S 1:COM,18/07/2024,1097.3566,1100.6649,1089.192,1097.4225
Soybeans,S 1:COM,17/07/2024,1091.2758,1103.1016,1090.7877,1096.4781
Soybeans,S 1:COM,16/07/2024,1077.2614,1096.5988,1076.949,1090.046
Soybeans,S 1:COM,15/07/2024,1097.761,1100.1957,1073.6007,1075.2437
Soybeans,S 1:COM,12/07/2024,1118.5228,1119.4606,1101.8921,1103.0968
Soybeans,S 1:COM,11/07/2024,1137.0944,1150.6372,1116.8219,1116.8219
Soybeans,S 1:COM,10/07/2024,1160.8112,1172.5927,1131.3235,1131.3235
Soybeans,S 1:COM,09/07/2024,1171.5228,1185.1072,1156.9924,1158.0688
Soybeans,S 1:COM,08/07/2024,1180.567,1182.3228,1149.0168,1149.0168
Soybeans,S 1:COM,05/07/2024,1149.112,1192.2725,1149.112,1189.5192
Soybeans,S 1:COM,03/07/2024,1164.0583,1181.6581,1160.9174,1177.2859
Soybeans,S 1:COM,02/07/2024,1158.3239,1176.5308,1157.4495,1161.9791
Soybeans,S 1:COM,01/07/2024,1148.361,1162.0865,1145.0089,1156.3131
Soybeans,S 1:COM,28/06/2024,1152.4795,1168.412,1145.278,1152.5287
Soybeans,S 1:COM,27/06/2024,1160.052,1169.8708,1149.6792,1152.2794
Soybeans,S 1:COM,26/06/2024,1162.3352,1177.7472,1159.4618,1161.0293
Soybeans,S 1:COM,25/06/2024,1174.1943,1180.0931,1156.6205,1163.237
Soybeans,S 1:COM,24/06/2024,1160.7972,1178.8337,1156.7921,1174.4274
Soybeans,S 1:COM,21/06/2024,1156.2803,1168.0577,1156.268,1160.3531
Soybeans,S 1:COM,20/06/2024,1171.5562,1175.8441,1154.622,1156.053
Soybeans,S 1:COM,19/06/2024,1172.8326,1173.5813,1170.5385,1172.5812
Soybeans,S 1:COM,18/06/2024,1158.7668,1174.9727,1157.0702,1172.4655
Soybeans,S 1:COM,17/06/2024,1176.8186,1178.4336,1156.9423,1157.8538
Soybeans,S 1:COM,14/06/2024,1187.7972,1188.8334,1177.4318,1178.2812
Soybeans,S 1:COM,13/06/2024,1178.824,1191.5228,1171.5936,1188.7928
Soybeans,S 1:COM,12/06/2024,1176.9661,1186.346,1170.7023,1177.1172
Soybeans,S 1:COM,11/06/2024,1189.0858,1193.1813,1174.9415,1176.9578
Soybeans,S 1:COM,10/06/2024,1178.0496,1191.0153,1175.8228,1188.2227
Soybeans,S 1:COM,07/06/2024,1201.3025,1202.7546,1174.0363,1177.2112
Soybeans,S 1:COM,06/06/2024,1176.2426,1204.1143,1175.9745,1200.5706
Soybeans,S 1:COM,05/06/2024,1180.3212,1191.2396,1175.7706,1176.472
Soybeans,S 1:COM,04/06/2024,1182.4377,1189.7993,1176.4333,1180.2972
Soybeans,S 1:COM,03/06/2024,1201.5427,1205.4314,1181.0701,1184.0552
Soybeans,S 1:COM,31/05/2024,1211.1816,1224.0135,1203.0411,1204.7277
Soybeans,S 1:COM,30/05/2024,1212.5438,1219.1401,1206.7017,1209.7275
Soybeans,S 1:COM,29/05/2024,1228.9565,1230.9716,1212.2144,1213.7843
Soybeans,S 1:COM,28/05/2024,1250.83,1254.5388,1226.0166,1228.9567
Soybeans,S 1:COM,27/05/2024,1247.8229,1250.1106,1247.2921,1250.1106
Soybeans,S 1:COM,24/05/2024,1238.3726,1250.13,1236.6528,1249.3186
Soybeans,S 1:COM,23/05/2024,1245.5192,1257.9359,1236.2399,1239.0253
Soybeans,S 1:COM,22/05/2024,1235.315,1250.0287,1234.3534,1245.5148
Soybeans,S 1:COM,21/05/2024,1246.7444,1249.0955,1230.5745,1235.0105
Soybeans,S 1:COM,20/05/2024,1226.6989,1251.0798,1224.0488,1246.5806
Soybeans,S 1:COM,17/05/2024,1216.8224,1231.4781,1215.6364,1227.0269
Soybeans,S 1:COM,16/05/2024,1214.0347,1219.2253,1209.9852,1216.5518
Soybeans,S 1:COM,15/05/2024,1215.2845,1231.9503,1210.0085,1214.0692
Soybeans,S 1:COM,14/05/2024,1201.5815,1222.3158,1201.263,1214.5315
Soybeans,S 1:COM,13/05/2024,1205.5698,1213.3267,1193.4019,1199.593
Soybeans,S 1:COM,10/05/2024,1194.3246,1206.5535,1187.0673,1204.0222
Soybeans,S 1:COM,09/05/2024,1211.0916,1218.1543,1189.8995,1193.5604
Soybeans,S 1:COM,08/05/2024,1232.1068,1232.654,1208.6097,1211.0441
Soybeans,S 1:COM,07/05/2024,1232.0625,1242.6373,1227.648,1229.3031
Soybeans,S 1:COM,06/05/2024,1201.0938,1235.5698,1197,1234.6
Soybeans,S 1:COM,03/05/2024,1197.6906,1204.6505,1189.6722,1201.6729
Soybeans,S 1:COM,02/05/2024,1156.5835,1167.456,1156.5496,1165.21
Soybeans,S 1:COM,01/05/2024,1142.022,1156.1678,1140.1512,1155.2354
Soybeans,S 1:COM,30/04/2024,1161.532,1162.8927,1140.3931,1145.822
Soybeans,S 1:COM,29/04/2024,1158.7017,1171.768,1156.941,1158.767
Soybeans,S 1:COM,26/04/2024,1161.9503,1163.992,1154.7435,1159.2712
Soybeans,S 1:COM,25/04/2024,1161.0396,1166.0775,1150.9452,1160.058
Soybeans,S 1:COM,23/04/2024,1161,1169,1158,1163
Soybeans,S 1:COM,22/04/2024,1147.75,1166.75,1144.25,1160.5
Soybeans,S 1:COM,19/04/2024,1134,1152.75,1131.5,1150.5
Soybeans,S 1:COM,18/04/2024,1149,1150,1133,1133.25
Soybeans,S 1:COM,17/04/2024,1145.75,1155,1141.75,1148.5
Soybeans,S 1:COM,16/04/2024,1157.5,1162.75,1143,1145
Soybeans,S 1:COM,15/04/2024,1172.75,1175.75,1155.5,1157.25
Soybeans,S 1:COM,12/04/2024,1157.75,1179.5,1154,1173
Soybeans,S 1:COM,11/04/2024,1163.5,1166,1151,1158.5
Soybeans,S 1:COM,10/04/2024,1174.75,1180.5,1163.25,1163.75
Soybeans,S 1:COM,09/04/2024,1181.5,1184.25,1172,1174.5
Soybeans,S 1:COM,08/04/2024,1187.75,1193.25,1180.5,1181.5
Soybeans,S 1:COM,05/04/2024,1178,1190.75,1173,1185
Soybeans,S 1:COM,04/04/2024,1182.25,1186.75,1170.25,1180
Soybeans,S 1:COM,03/04/2024,1175.5,1186.75,1168.5,1182.25
Soybeans,S 1:COM,02/04/2024,1185.5,1199.75,1171,1174
Soybeans,S 1:COM,01/04/2024,1196.25,1201.75,1181.5,1185.75
Soybeans,S 1:COM,28/03/2024,1191.75,1199.5,1177,1191.5
Soybeans,S 1:COM,27/03/2024,1196.75,1198,1189.5,1192.5
Soybeans,S 1:COM,26/03/2024,1207.5,1208,1197.75,1199
Soybeans,S 1:COM,25/03/2024,1194,1210,1188.5,1209.25
Soybeans,S 1:COM,22/03/2024,1211,1211.25,1189.25,1192.5
Soybeans,S 1:COM,21/03/2024,1209,1226.75,1204,1212
Soybeans,S 1:COM,20/03/2024,1185.5,1211.75,1183.5,1209.5
Soybeans,S 1:COM,19/03/2024,1188,1192.25,1181,1185.5
Soybeans,S 1:COM,18/03/2024,1198.5,1206,1186.75,1187.75
Soybeans,S 1:COM,15/03/2024,1194.5,1200,1183.5,1198.25
Soybeans,S 1:COM,14/03/2024,1196,1217.5,1191.5,1195.25
Soybeans,S 1:COM,13/03/2024,1192.25,1199.25,1182.75,1196.75
Soybeans,S 1:COM,12/03/2024,1179,1196.5,1175.75,1196
Soybeans,S 1:COM,11/03/2024,1185.25,1189.25,1175,1179.25
Soybeans,S 1:COM,08/03/2024,1165,1185,1153.75,1184
Soybeans,S 1:COM,07/03/2024,1149,1167,1147,1166.25
Soybeans,S 1:COM,06/03/2024,1149.25,1153.5,1140.25,1148.25
Soybeans,S 1:COM,05/03/2024,1155,1158.75,1146.75,1149
Soybeans,S 1:COM,04/03/2024,1152.25,1165.75,1151,1155
Soybeans,S 1:COM,01/03/2024,1139,1152.25,1137.25,1151.25
Soybeans,S 1:COM,29/02/2024,1144.75,1148.75,1128.5,1140.75
Soybeans,S 1:COM,28/02/2024,1141.5,1151.5,1134,1145.25
Soybeans,S 1:COM,27/02/2024,1145,1161.5,1138.5,1140.75
Soybeans,S 1:COM,26/02/2024,1145,1151,1133.5,1145.25
Soybeans,S 1:COM,23/02/2024,1153,1158.5,1138.25,1141.75
Soybeans,S 1:COM,22/02/2024,1165,1172,1151.75,1152.5
Soybeans,S 1:COM,21/02/2024,1183.5,1184,1162.25,1165
Soybeans,S 1:COM,20/02/2024,1180,1192,1177.25,1183.5
Soybeans,S 1:COM,19/02/2024,1163.75,1172,1163.75,1171.5
Soybeans,S 1:COM,16/02/2024,1167.5,1177.5,1165.5,1176.25
Soybeans,S 1:COM,15/02/2024,1174.25,1179.5,1164.25,1166
Soybeans,S 1:COM,14/02/2024,1191.75,1193.5,1174.25,1176.25
Soybeans,S 1:COM,13/02/2024,1196,1201.25,1188.75,1191.75
Soybeans,S 1:COM,12/02/2024,1189,1202.5,1188.75,1197.75
Soybeans,S 1:COM,09/02/2024,1201,1204.25,1188.25,1190
Soybeans,S 1:COM,08/02/2024,1196,1211.75,1188.25,1199.75
Soybeans,S 1:COM,07/02/2024,1207.5,1211,1188.75,1197.5
Soybeans,S 1:COM,06/02/2024,1204.75,1213.75,1202,1208.25
Soybeans,S 1:COM,05/02/2024,1199.75,1207,1190,1204.75
Soybeans,S 1:COM,02/02/2024,1213.75,1218.25,1197,1198.25
Soybeans,S 1:COM,01/02/2024,1231.75,1232,1210.75,1213.75
Soybeans,S 1:COM,31/01/2024,1228,1233.25,1216.25,1232.75
Soybeans,S 1:COM,30/01/2024,1193.75,1221.25,1187.75,1218.75
Soybeans,S 1:COM,29/01/2024,1210.75,1212.5,1191.5,1194.25
Soybeans,S 1:COM,26/01/2024,1223.5,1230.75,1208.5,1209.25
Canola,RS1:COM,24/01/2025,638.1378,643.1698,632.387,638.9686
Canola,RS1:COM,23/01/2025,629.2793,640.53,623.8565,637.927
Canola,RS1:COM,22/01/2025,631.7742,638.9492,626.1592,629.1658
Canola,RS1:COM,21/01/2025,633.4465,633.5997,615.1932,631.3698
Canola,RS1:COM,20/01/2025,616.8109,634.1223,612.3247,632.655
Canola,RS1:COM,18/01/2025,616.298,616.298,616.298,616.298
Canola,RS1:COM,17/01/2025,607.2042,627.7865,606.1007,616.298
Canola,RS1:COM,16/01/2025,629.9966,630.0092,604.874,606.7605
Canola,RS1:COM,15/01/2025,642.0326,645.5194,622.8838,629.8993
Canola,RS1:COM,14/01/2025,629.6499,648.0256,628.1705,641.2722
Canola,RS1:COM,13/01/2025,626.3458,633.6478,625.4132,631.2735
Canola,RS1:COM,10/01/2025,614.0508,628.2089,612.7187,626.477
Canola,RS1:COM,09/01/2025,613.8419,614.6552,608.9826,611.4669
Canola,RS1:COM,08/01/2025,631.3327,638.2973,613.6908,613.7992
Canola,RS1:COM,07/01/2025,610.751,633.2398,604.5547,631.7402
Canola,RS1:COM,06/01/2025,629.959,638.804,609.7129,610.8704
Canola,RS1:COM,03/01/2025,613.3084,634.4687,606.829,632.5618
Canola,RS1:COM,02/01/2025,611.7057,631.3244,601.8698,631.3015
Canola,RS1:COM,01/01/2025,611.7247,611.7589,611.6688,611.7134
Canola,RS1:COM,31/12/2024,614.3558,614.3558,604.7268,608.7172
Canola,RS1:COM,30/12/2024,621.253,625.5141,610.5502,611.3775
Canola,RS1:COM,28/12/2024,624.7234,624.7234,624.7234,624.7234
Canola,RS1:COM,27/12/2024,620.7441,626.6223,616.0121,624.7234
Canola,RS1:COM,26/12/2024,620.7344,620.7729,620.7337,620.754
Canola,RS1:COM,25/12/2024,620.7736,620.8043,620.6518,620.7469
Canola,RS1:COM,24/12/2024,608.8211,624.3137,606.3719,620.9873
Canola,RS1:COM,23/12/2024,609.0954,620.168,605.6596,607.9475
Canola,RS1:COM,21/12/2024,608.7038,608.7038,608.7038,608.7038
Canola,RS1:COM,20/12/2024,597.1499,611.759,596.0495,608.7038
Canola,RS1:COM,19/12/2024,587.3025,607.8544,585.7755,596.9185
Canola,RS1:COM,18/12/2024,592.8374,593.2822,583.3838,587.1491
Canola,RS1:COM,17/12/2024,602.8802,607.0949,592.2955,593.0344
Canola,RS1:COM,16/12/2024,612.1309,618.4164,600.588,602.4944
Canola,RS1:COM,13/12/2024,617.7503,622.7077,611.2527,612.1298
Canola,RS1:COM,12/12/2024,622.6143,626.1786,616.0158,617.629
Canola,RS1:COM,11/12/2024,620.1664,625.7344,616.1816,622.502
Canola,RS1:COM,10/12/2024,618.0314,624.7296,612.6173,620.1546
Canola,RS1:COM,09/12/2024,608.3353,618.8041,604.2603,618.0358
Canola,RS1:COM,07/12/2024,608.201,608.201,608.201,608.201
Canola,RS1:COM,06/12/2024,591.6577,609.8024,590.2212,608.201
Canola,RS1:COM,05/12/2024,578.555,595.8818,578.2746,591.5367
Canola,RS1:COM,04/12/2024,588.0985,588.0985,577.389,578.4586
Canola,RS1:COM,03/12/2024,581.6187,596.0984,580.6077,587.8013
Canola,RS1:COM,02/12/2024,573.973,582.9976,570.1328,581.5458
Canola,RS1:COM,30/11/2024,573.6722,573.6722,573.6722,573.6722
Canola,RS1:COM,29/11/2024,571.1488,584.327,568.6928,573.6722
Canola,RS1:COM,28/11/2024,565.7429,579.0998,563.8443,571.1746
Canola,RS1:COM,27/11/2024,580.198,583.3163,563.6479,565.4105
Canola,RS1:COM,26/11/2024,593.7419,593.7419,567.9288,579.8167
Canola,RS1:COM,25/11/2024,592.4682,600.6811,585.0544,593.7313
Canola,RS1:COM,23/11/2024,592.5928,592.5928,592.5928,592.5928
Canola,RS1:COM,22/11/2024,593.812,600.5098,584.0105,592.5928
Canola,RS1:COM,21/11/2024,616.9196,619.6127,590.6565,593.8024
Canola,RS1:COM,20/11/2024,629.8034,634.4923,615.0027,616.6168
Canola,RS1:COM,19/11/2024,646.8875,649.8809,629.1521,629.7156
Canola,RS1:COM,18/11/2024,647.4766,652.3369,632.679,646.9175
Canola,RS1:COM,16/11/2024,646.8355,646.8355,646.8355,646.8355
Canola,RS1:COM,15/11/2024,626.942,651.6307,625.4669,646.8355
Canola,RS1:COM,14/11/2024,633.0419,656.834,626.2641,626.9302
Canola,RS1:COM,13/11/2024,639.5568,644.1494,622.5174,631.2383
